Entity,Code,Day,2021,2020,"Projected, 2020",2015,2016,2017,2018,2019,2022,2023
Ecuador,ECU,2020-11-29,1539,1723,1412.7,1224,1232,1325,1331,1381,1739,1746
Ecuador,ECU,2020-12-06,1649,1803,1434.5,1248,1295,1329,1380,1350,1714,1724
Ecuador,ECU,2020-12-13,1660,1670,1456.7,1260,1267,1260,1447,1479,1744,1765
Ecuador,ECU,2020-12-20,1750,1788,1477.9,1257,1370,1341,1492,1359,1843,1822
Ecuador,ECU,2020-12-27,1814,1783,1445.9,1242,1447,1342,1501,1127,1872,1832
Ecuador,ECU,2021-01-03,,1923,1445.9,,,,,,,
Egypt,EGY,2020-01-31,71603,57080,58496.4,59713,58640,58898,54283,61321,68942,53437
Egypt,EGY,2020-02-29,54573,49638,48131.6,47678,49103,47982,46845,49423,68110,50847
Egypt,EGY,2020-03-31,61669,48662,46177.2,46524,44270,45686,47022,47757,53356,48268
Egypt,EGY,2020-04-30,69065,42138,42313.4,41648,41935,41655,43399,43303,44755,45779
Egypt,EGY,2020-05-31,75308,56068,43524,42771,43144,42754,44473,44851,44479,45400
Egypt,EGY,2020-06-30,55302,78847,43161.4,40798,44891,40513,44510,45468,42588,43400
Egypt,EGY,2020-07-31,51966,61165,47027.6,46374,45934,49581,46202,47420,46466,53600
Egypt,EGY,2020-08-31,58087,56500,49543.2,65363,44924,45737,46458,45607,48003,52900
Egypt,EGY,2020-09-30,57297,49304,42510.4,44519,41001,40863,43907,42635,42214,47300
Egypt,EGY,2020-10-31,65518,45966,42833.4,42403,42853,42394,44052,42838,48000,44700
Egypt,EGY,2020-11-30,61185,50542,43820.8,43253,44610,42684,44667,44263,47094,47600
Egypt,EGY,2020-12-31,60351,68853,53080.4,52835,54843,48461,53942,55694,52686,54300
El Salvador,SLV,2020-01-31,,4545,4413.2,4361,4604,4075,4474,4478,,
El Salvador,SLV,2020-02-29,,3102,3224.2,2957,3706,2947,3201,3236,,
El Salvador,SLV,2020-03-31,,2610,3275,3078,3470,3466,2723,3564,,
El Salvador,SLV,2020-04-30,,1906,3477.4,3395,3550,2971,3875,3522,,
El Salvador,SLV,2020-05-31,,2082,3663.8,3479,3680,3595,3677,3814,,
El Salvador,SLV,2020-06-30,,5930,3679.4,3843,3412,4144,3447,3477,,
El Salvador,SLV,2020-07-31,,8467,3889,4062,3209,4080,4015,4005,,
El Salvador,SLV,2020-08-31,,5210,3491,3629,3427,3483,3456,3386,,
El Salvador,SLV,2020-09-30,,,3432.4,3757,3210,3157,3235,3729,,
El Salvador,SLV,2020-10-31,,,3773.6,3699,3368,3635,3891,4201,,
El Salvador,SLV,2020-11-30,,,3441.6,3727,3258,3488,3267,3394,,
El Salvador,SLV,2020-12-31,,,2639.2,3080,2565,2669,2303,2505,,
England and Wales,,2020-01-05,17751,12253,,12284,13045,11989,12721,10955,12262,14983
England and Wales,,2020-01-12,18042,14057,,16237,11497,13715,15050,12609,13311,17381
England and Wales,,2020-01-19,18676,12990,,14866,11470,13610,14256,11860,12776,15804
England and Wales,,2020-01-26,18448,11853,,13934,11312,12877,13935,11740,12401,14137
England and Wales,,2020-02-02,17192,11612,,12900,11042,12485,13285,11297,11862,13412
England and Wales,,2020-02-09,15354,10984,,12039,11154,12261,12490,11660,11558,12672
England and Wales,,2020-02-16,13809,10948,,11822,10589,11644,12246,11824,11271,12031
England and Wales,,2020-02-23,12614,10840,,11433,11056,11793,12142,11295,11150,11952
England and Wales,,2020-03-01,11592,10815,,11471,11283,11245,10854,11044,11225,12049
England and Wales,,2020-03-08,10987,10892,,11467,11005,11077,12997,10898,11227,11410
England and Wales,,2020-03-15,10311,11017,,10949,11015,10697,12788,10567,10927,12133
England and Wales,,2020-03-22,10045,10646,,10568,9626,10325,11913,10402,10745,12052
England and Wales,,2020-03-29,8201,11142,,10492,10281,10027,9941,9867,9840,11584
England and Wales,,2020-04-05,9098,16387,,9061,11599,9938,10794,10126,10687,10089
England and Wales,,2020-04-12,9098,18516,,10089,11414,8491,12301,10291,9919,9978
England and Wales,,2020-04-19,9941,22351,,11639,10925,9637,11223,9025,10680,12420
England and Wales,,2020-04-26,9692,21997,,10597,10412,10908,10306,10059,12441,12152
England and Wales,,2020-05-03,7986,17953,,10111,9133,9064,10153,11207,9941,10143
England and Wales,,2020-05-10,10164,12657,,8861,10633,10690,8624,9055,12048,10367
England and Wales,,2020-05-17,9860,14573,,10290,9953,10288,10141,10272,11520,11654
England and Wales,,2020-05-24,9628,12288,,9996,9738,10035,9636,10284,10860,11111
England and Wales,,2020-05-31,7778,9824,,8213,7909,8332,8147,8260,6825,8839
England and Wales,,2020-06-07,10204,10709,,10145,9873,9763,9950,10140,11742,10940
England and Wales,,2020-06-14,9459,9976,,9547,9384,9363,9343,9445,10844,10700
England and Wales,,2020-06-21,8690,9339,,9308,9361,9627,9256,9458,10836,10472
England and Wales,,2020-06-28,8808,8979,,9183,9227,9331,9212,9511,10357,10373
England and Wales,,2020-07-05,9752,9140,,9199,9138,9261,9258,9062,10232,9736
England and Wales,,2020-07-12,9697,8690,,9015,9387,9375,9293,9179,10515,10030
England and Wales,,2020-07-19,9744,8823,,8797,9344,9111,9127,9080,10978,9659
England and Wales,,2020-07-26,10135,8891,,8791,9331,8882,9141,9112,11013,9684
England and Wales,,2020-08-02,10187,8946,,8616,9176,8938,9161,9271,10698,10038
England and Wales,,2020-08-09,10372,8945,,8860,9161,9038,9319,9122,10355,9991
England and Wales,,2020-08-16,10013,9392,,9146,9070,9295,8830,9093,10982,10063
England and Wales,,2020-08-23,10268,9631,,9121,9318,9382,8978,8994,10942,10086
England and Wales,,2020-08-30,8797,9032,,9023,7921,8146,7865,8242,8868,8441
England and Wales,,2020-09-06,11035,7739,,7878,9397,9493,9445,9695,10753,10168
England and Wales,,2020-09-13,11009,9811,,9254,9123,9453,9191,9513,10673,10355
England and Wales,,2020-09-20,10684,9522,,9097,8945,9534,9305,9440,8751,10384
England and Wales,,2020-09-27,10510,9634,,9526,8993,9689,9150,9517,10960,9979
England and Wales,,2020-10-04,10807,9945,,9410,9287,9776,9503,9799,11207,10103
England and Wales,,2020-10-11,11177,9954,,9775,9717,9939,9649,9973,11699,10544
England and Wales,,2020-10-18,11308,10534,,9508,9768,10029,9864,10156,11938,10388
England and Wales,,2020-10-25,10987,10739,,9710,9724,9739,9603,10021,11245,10445
England and Wales,,2020-11-01,11550,10887,,9593,10152,9983,9529,10164,11795,10983
England and Wales,,2020-11-08,12050,11812,,9984,10467,10344,10151,10697,11538,11489
England and Wales,,2020-11-15,12103,12254,,9935,10690,10274,10193,10650,11579,11243
England and Wales,,2020-11-22,11467,12535,,9829,10602,10612,9957,10882,11483,11385
England and Wales,,2020-11-29,11659,12456,,9820,10438,10536,10033,10958,11307,11328
England and Wales,,2020-12-06,11930,12303,,10361,11223,10781,10287,10816,11694,11318
England and Wales,,2020-12-13,12400,12292,,10257,10528,11217,10550,11188,12389,11960
England and Wales,,2020-12-20,13013,13011,,10688,11486,12514,11116,11926,14530,13213
England and Wales,,2020-12-27,8477,11520,,8630,8002,8481,7131,7533,9517,7447
England and Wales,,2021-01-03,,10069,,,,,,,,
Estonia,EST,2020-01-05,378,294,347.3,354,322,364,328,351,381,388
Estonia,EST,2020-01-12,392,326,348.3,340,334,393,319,338,372,407
Estonia,EST,2020-01-19,406,308,334.3,294,301,386,290,383,333,373
Estonia,EST,2020-01-26,353,299,339.1,321,335,360,338,324,357,334
Estonia,EST,2020-02-02,348,307,343.1,329,319,392,333,325,390,318
Estonia,EST,2020-02-09,376,271,344.3,332,353,351,343,325,374,310
Estonia,EST,2020-02-16,342,322,325.1,324,276,344,347,317,429,335
Estonia,EST,2020-02-23,405,331,342.1,332,313,337,389,322,438,296
Estonia,EST,2020-03-01,418,315,336.9,324,317,304,391,331,400,294
Estonia,EST,2020-03-08,420,293,337.9,355,293,328,391,305,383,309
Estonia,EST,2020-03-15,421,340,327.1,341,303,296,384,294,362,287
Estonia,EST,2020-03-22,403,311,315.3,331,263,304,361,300,346,287
Estonia,EST,2020-03-29,406,325,320.3,317,323,322,326,296,326,309
Estonia,EST,2020-04-05,404,312,302.7,304,312,286,337,257,317,283
Estonia,EST,2020-04-12,386,310,307.5,311,307,293,319,290,303,300
Estonia,EST,2020-04-19,367,309,302.9,297,298,285,318,299,316,328
Estonia,EST,2020-04-26,313,319,288.7,302,295,267,276,286,275,312
Estonia,EST,2020-05-03,341,304,292.9,265,304,308,269,301,305,303
Estonia,EST,2020-05-10,344,307,291.1,278,299,319,268,274,321,303
Estonia,EST,2020-05-17,318,285,308.7,333,288,292,300,313,285,298
Estonia,EST,2020-05-24,320,278,290.1,283,276,290,281,303,280,261
Estonia,EST,2020-05-31,295,301,277.9,285,277,268,266,276,283,294
Estonia,EST,2020-06-07,302,269,283.1,289,258,293,262,296,325,309
Estonia,EST,2020-06-14,302,273,272.3,267,276,262,282,257,296,309
Estonia,EST,2020-06-21,395,279,275.5,285,270,247,277,281,333,315
Estonia,EST,2020-06-28,310,287,266.3,239,263,272,261,279,336,250
Estonia,EST,2020-07-05,367,268,265.7,277,251,290,230,263,306,268
Estonia,EST,2020-07-12,319,270,268.9,250,270,249,280,278,296,279
Estonia,EST,2020-07-19,279,284,273.5,236,276,242,310,286,298,287
Estonia,EST,2020-07-26,280,296,284.1,238,264,296,291,314,311,254
Estonia,EST,2020-08-02,308,304,271.5,259,232,272,321,256,314,270
Estonia,EST,2020-08-09,305,281,289.7,276,280,304,302,269,276,251
Estonia,EST,2020-08-16,291,295,281.7,289,285,260,234,323,313,286
Estonia,EST,2020-08-23,292,265,267.7,261,278,270,261,251,302,271
Estonia,EST,2020-08-30,325,298,275.7,259,271,305,255,271,279,271
Estonia,EST,2020-09-06,339,280,269.3,248,283,259,278,261,290,286
Estonia,EST,2020-09-13,297,256,276.1,301,278,265,265,254,336,249
Estonia,EST,2020-09-20,346,312,285.1,285,295,267,284,277,313,276
Estonia,EST,2020-09-27,346,330,290.1,292,305,271,283,282,353,272
Estonia,EST,2020-10-04,342,301,290.3,301,282,273,273,305,306,260
Estonia,EST,2020-10-11,348,274,288.9,316,284,269,301,257,310,323
Estonia,EST,2020-10-18,355,309,295.9,296,313,285,282,286,282,339
Estonia,EST,2020-10-25,414,304,299.1,279,313,291,299,296,314,313
Estonia,EST,2020-11-01,419,267,297.9,270,303,324,282,293,345,321
Estonia,EST,2020-11-08,392,287,283.3,277,330,262,259,271,331,304
Estonia,EST,2020-11-15,397,291,294.5,285,299,299,284,288,338,333
Estonia,EST,2020-11-22,416,317,284.1,256,292,267,289,299,298,314
Estonia,EST,2020-11-29,363,334,296.3,282,284,324,283,291,316,322
Estonia,EST,2020-12-06,379,339,299.7,258,286,294,316,327,372,349
Estonia,EST,2020-12-13,373,348,304.3,305,312,264,319,304,397,365
Estonia,EST,2020-12-20,375,344,313.7,318,309,301,318,305,374,415
Estonia,EST,2020-12-27,284,360,317.9,267,364,310,329,302,365,363
Estonia,EST,2021-01-03,,368,317.9,,,,,,,
Faroe Islands,FRO,2020-01-31,39,31,43,41,44,39,43,38,40,42
Faroe Islands,FRO,2020-02-29,36,24,34.4,29,26,43,33,31,51,41
Faroe Islands,FRO,2020-03-31,25,30,41.4,32,46,43,35,41,56,21
Faroe Islands,FRO,2020-04-30,40,40,33,35,26,35,27,32,38,37
Faroe Islands,FRO,2020-05-31,32,18,38.4,37,36,38,38,33,46,37
Faroe Islands,FRO,2020-06-30,30,36,32.8,35,33,23,30,33,35,33
Faroe Islands,FRO,2020-07-31,36,31,33.6,28,32,32,29,37,46,31
Faroe Islands,FRO,2020-08-31,31,28,35,25,39,43,28,30,43,31
Faroe Islands,FRO,2020-09-30,34,27,32.2,29,19,38,35,30,31,36
Faroe Islands,FRO,2020-10-31,31,30,32.6,28,21,38,31,35,29,37
Faroe Islands,FRO,2020-11-30,43,38,33,30,26,37,31,31,35,30
Faroe Islands,FRO,2020-12-31,53,33,36.8,30,31,39,34,40,37,35
Fiji,FJI,2020-01-31,730.4,634.5,648,,,,,,,
Fiji,FJI,2020-02-29,654.5,563.7,600,,,,,,,
Fiji,FJI,2020-03-31,663.4,694.2,634,,,,,,,
Fiji,FJI,2020-04-30,625.4,674.3,650,,,,,,,
Fiji,FJI,2020-05-31,605.3,627.8,630,,,,,,,
Fiji,FJI,2020-06-30,728.3,652.1,584,,,,,,,
Fiji,FJI,2020-07-31,1124.1,658.8,614,,,,,,,
Fiji,FJI,2020-08-31,1048,698.7,641,,,,,,,
Fiji,FJI,2020-09-30,714.8,641.1,594,,,,,,,
Fiji,FJI,2020-10-31,663.4,590.2,582,,,,,,,
Fiji,FJI,2020-11-30,607.5,645.5,550,,,,,,,
Fiji,FJI,2020-12-31,650,703.1,596,,,,,,,
Finland,FIN,2020-01-05,1104,1047,1186.4,1084,1184,1273,1072,1213,1278,1367
Finland,FIN,2020-01-12,1130,1069,1201.6,1159,1192,1335,1091,1125,1283,1332
Finland,FIN,2020-01-19,1204,1061,1193.6,1151,1249,1208,1083,1171,1403,1242
Finland,FIN,2020-01-26,1159,1040,1148.4,1040,1186,1145,1131,1134,1245,1195
Finland,FIN,2020-02-02,1103,1074,1158.8,1062,1183,1116,1186,1141,1314,1195
Finland,FIN,2020-02-09,1056,1115,1144.2,1062,1167,1106,1110,1170,1354,1153
Finland,FIN,2020-02-16,1160,1098,1120,1093,1047,1122,1143,1089,1265,1149
Finland,FIN,2020-02-23,1133,1091,1116.4,1075,1046,1124,1173,1058,1167,1153
Finland,FIN,2020-03-01,1091,1050,1141.4,1126,1075,1083,1247,1070,1245,1104
Finland,FIN,2020-03-08,1050,1106,1123.8,1134,1023,1048,1223,1085,1263,1085
Finland,FIN,2020-03-15,1090,1105,1124,1047,1041,1021,1251,1154,1243,1106
Finland,FIN,2020-03-22,1021,1122,1108.8,1015,1095,1065,1216,1047,1233,1072
Finland,FIN,2020-03-29,1053,1108,1085.2,1012,1097,985,1154,1072,1275,1150
Finland,FIN,2020-04-05,1056,1110,1098.2,1070,980,1059,1243,1033,1309,1194
Finland,FIN,2020-04-12,1033,1181,1068.6,1075,1010,998,1096,1058,1277,1159
Finland,FIN,2020-04-19,1055,1094,1079,1040,1060,1055,1110,1024,1241,1226
Finland,FIN,2020-04-26,1009,1142,1036.6,1075,968,1006,1027,1001,1230,1136
Finland,FIN,2020-05-03,1068,1131,1059,1021,976,1079,1023,1090,1210,1139
Finland,FIN,2020-05-10,1116,1074,1012.6,1009,947,1049,980,972,1160,1141
Finland,FIN,2020-05-17,1009,1104,992,926,963,999,973,993,1112,1105
Finland,FIN,2020-05-24,996,957,979.8,939,1023,995,909,927,1081,1120
Finland,FIN,2020-05-31,1013,990,971.6,947,980,980,926,919,1070,1092
Finland,FIN,2020-06-07,981,984,987.4,907,913,1014,944,1053,1021,1107
Finland,FIN,2020-06-14,1009,1003,971.2,927,947,1021,921,934,1041,1155
Finland,FIN,2020-06-21,1080,1068,988.2,987,939,993,954,962,1066,1049
Finland,FIN,2020-06-28,1009,1021,971.8,924,995,993,946,895,1143,1093
Finland,FIN,2020-07-05,1092,996,967,1016,874,929,961,949,1090,986
Finland,FIN,2020-07-12,1148,944,964.2,885,940,921,986,983,1002,1040
Finland,FIN,2020-07-19,1015,1021,980.8,902,949,925,1060,962,1110,1048
Finland,FIN,2020-07-26,1028,964,994.6,902,952,944,1047,1022,1097,952
Finland,FIN,2020-08-02,1063,982,959.8,883,902,923,1063,922,1114,1027
Finland,FIN,2020-08-09,1100,954,946,874,919,954,919,958,1183,1063
Finland,FIN,2020-08-16,1081,977,971.6,956,946,943,984,923,1190,1012
Finland,FIN,2020-08-23,1066,1016,979.8,946,1006,906,943,992,1097,1049
Finland,FIN,2020-08-30,1079,989,984.2,957,991,954,947,966,1060,1006
Finland,FIN,2020-09-06,1148,979,988.4,917,991,1001,941,986,1193,1117
Finland,FIN,2020-09-13,1064,1124,986.2,966,922,1040,907,990,1232,1106
Finland,FIN,2020-09-20,1121,1046,1007.8,977,1012,940,997,1007,1146,1123
Finland,FIN,2020-09-27,1134,1089,1012,938,983,974,1012,1047,1173,1119
Finland,FIN,2020-10-04,1138,977,1037.6,957,986,1030,1059,1050,1211,1159
Finland,FIN,2020-10-11,1187,984,1044,982,1074,964,1004,1090,1232,1208
Finland,FIN,2020-10-18,1200,1074,1036.6,1025,994,1024,982,1052,1245,1220
Finland,FIN,2020-10-25,1129,1070,1056,1045,1025,1024,999,1081,1251,1266
Finland,FIN,2020-11-01,1088,1132,1053.8,967,1040,1034,1021,1101,1259,1414
Finland,FIN,2020-11-08,1161,1043,1029.8,967,1071,977,1031,997,1236,1440
Finland,FIN,2020-11-15,1193,1025,1016,1005,1006,966,983,1014,1239,1355
Finland,FIN,2020-11-22,1229,1119,1044.4,1054,1099,998,995,970,1278,1483
Finland,FIN,2020-11-29,1231,1108,1053.8,1069,1044,988,1038,1024,1204,1430
Finland,FIN,2020-12-06,1300,1119,1079.2,1082,1034,1014,1063,1097,1361,1397
Finland,FIN,2020-12-13,1225,1106,1081.8,1060,1069,1056,1065,1053,1405,1376
Finland,FIN,2020-12-20,1236,1148,1109.4,1019,1168,1112,1037,1105,1445,1414
Finland,FIN,2020-12-27,1336,1129,1183.6,1106,1321,1103,1193,1089,1465,1301
Finland,FIN,2021-01-03,,1177,1183.6,,,,,,,
France,FRA,2020-01-05,14678,12737,13739.2,12804,11944,15509,14154,12814,14569,15481
France,FRA,2020-01-12,14638,13200,13857.2,13142,12032,15696,13590,13355,14547,14138
France,FRA,2020-01-19,15151,12598,13504.2,12803,12141,14700,13157,13249,14464,13529
France,FRA,2020-01-26,14786,12331,13365,12617,11824,14783,12464,13666,15082,13297
France,FRA,2020-02-02,14437,12541,13365.4,13281,11734,14282,12132,13927,15113,13004
France,FRA,2020-02-09,14162,12407,13483.8,13963,11827,13405,12697,14056,14309,12910
France,FRA,2020-02-16,14133,12261,13318.2,14666,11615,12610,12645,13584,13715,12689
France,FRA,2020-02-23,13323,11835,13187.2,14326,11522,11980,13136,13501,12747,12514
France,FRA,2020-03-01,12966,12042,13216.4,13592,12033,11712,14212,13062,12791,12485
France,FRA,2020-03-08,12801,12139,12917.8,12930,11920,11482,14327,12459,12576,12700
France,FRA,2020-03-15,12967,12554,12331,12264,12055,11013,13156,11696,12387,12316
France,FRA,2020-03-22,12782,13939,12039.2,11901,11867,10722,12687,11548,12428,11713
France,FRA,2020-03-29,13241,16188,11936.6,11684,11978,10795,12443,11312,12846,11611
France,FRA,2020-04-05,13003,18805,11674.4,11130,11614,10674,12014,11469,13090,11639
France,FRA,2020-04-12,13087,17563,11467.8,11239,11231,10664,11716,11018,13227,11730
France,FRA,2020-04-19,13223,15396,11322,10884,10694,10675,11603,11283,12717,11906
France,FRA,2020-04-26,12749,12821,11211.6,10790,10725,11027,10788,11257,12120,11813
France,FRA,2020-05-03,12505,11260,11071.2,10593,10831,10881,10696,10884,12053,11444
France,FRA,2020-05-10,11506,11030,10933.4,10480,10697,10691,10332,10996,11533,10961
France,FRA,2020-05-17,11245,10755,10827.4,10110,10542,10635,10399,10980,11296,11038
France,FRA,2020-05-24,11057,11116,10825.2,10026,10461,10604,10781,10783,10386,11443
France,FRA,2020-05-31,10820,10434,10559.8,10137,10043,10145,10512,10491,11060,11227
France,FRA,2020-06-07,10679,10392,10501.8,10416,10291,9851,10138,10342,10583,11300
France,FRA,2020-06-14,10860,10360,10387.4,10172,9904,10091,9978,10321,11361,10913
France,FRA,2020-06-21,9863,10427,10659.6,9862,10404,10864,10203,10494,10999,10734
France,FRA,2020-06-28,10136,11111,10680.4,10160,10073,9677,10894,11127,10479,10179
France,FRA,2020-07-05,10496,10020,11040.8,11190,10440,10584,10777,10742,11483,10611
France,FRA,2020-07-12,10332,10316,10512.8,10315,10156,10109,10255,10258,12516,10661
France,FRA,2020-07-19,11503,10129,10738.8,10181,10914,10289,10509,10330,13059,10445
France,FRA,2020-07-26,10676,10542,10730.8,9911,9838,10172,10923,11339,11672,10547
France,FRA,2020-08-02,10546,10866,10450.8,9698,9807,10405,10765,10108,11921,10175
France,FRA,2020-08-09,11584,10748,10552.8,10478,9820,9918,10731,10346,12087,11045
France,FRA,2020-08-16,11223,11767,10317.2,9935,10176,10083,9930,9991,11336,11131
France,FRA,2020-08-23,10927,10490,10590.2,9851,10497,10394,10388,10350,11153,11508
France,FRA,2020-08-30,11473,10503,10576.4,10094,10053,10300,10140,10824,11091,11021
France,FRA,2020-09-06,11734,10623,10372.6,9829,10195,9776,10497,10095,10832,11464
France,FRA,2020-09-13,10951,11199,10650.4,10157,10192,10368,10532,10532,10887,11015
France,FRA,2020-09-20,10915,11781,10908.8,10320,10259,11081,10520,10893,11533,10706
France,FRA,2020-09-27,11314,10868,10922.6,10408,10498,11239,10453,10544,12082,11232
France,FRA,2020-10-04,11410,11856,11168.6,10758,10669,10974,11061,10910,12440,11371
France,FRA,2020-10-11,12072,11841,11442,11100,11289,11099,11134,11117,12420,11637
France,FRA,2020-10-18,11985,12167,11305.6,10906,11384,10839,10780,11148,12574,11956
France,FRA,2020-10-25,12255,13689,11451.4,11293,11360,10946,10999,11188,12083,12508
France,FRA,2020-11-01,11683,14613,11467.8,11121,11158,11003,11194,11392,11704,12334
France,FRA,2020-11-08,12136,15609,11583.4,10762,11332,11314,11484,11554,12124,12340
France,FRA,2020-11-15,12262,15467,11596.4,10395,11689,11411,11249,11767,12825,12304
France,FRA,2020-11-22,12856,14993,11717,10489,11426,11631,11459,12109,13036,12418
France,FRA,2020-11-29,13512,14697,11844.6,10952,11402,11771,11595,12032,13301,13075
France,FRA,2020-12-06,13985,14533,11966,11125,11935,12031,11324,11944,14689,13812
France,FRA,2020-12-13,13907,14504,12256.2,11185,12273,12623,11501,12228,15687,13632
France,FRA,2020-12-20,14600,14106,12599.4,11207,13241,12704,12021,12353,16901,13775
France,FRA,2020-12-27,14737,13801,12912.8,11096,14411,13483,11954,12149,16505,14031
France,FRA,2021-01-03,,14365,12912.8,,,,,,,
French Guiana,GUF,2020-01-05,21,21,22,14,18,19,18,29,27,19
French Guiana,GUF,2020-01-12,25,12,19.8,17,18,15,21,16,27,23
French Guiana,GUF,2020-01-19,18,17,22.6,18,14,20,26,23,39,24
French Guiana,GUF,2020-01-26,22,21,22.6,26,21,23,10,21,36,22
French Guiana,GUF,2020-02-02,22,18,18.6,14,9,15,22,21,23,21
French Guiana,GUF,2020-02-09,20,10,18.4,17,11,18,19,15,21,29
French Guiana,GUF,2020-02-16,21,15,20,11,13,22,15,27,28,30
French Guiana,GUF,2020-02-23,22,17,17.8,17,6,17,25,12,21,31
French Guiana,GUF,2020-03-01,18,14,18.4,12,10,17,18,23,23,24
French Guiana,GUF,2020-03-08,24,16,17.6,12,15,17,11,21,20,16
French Guiana,GUF,2020-03-15,29,23,16.2,15,7,15,12,20,22,19
French Guiana,GUF,2020-03-22,30,12,19.6,11,12,24,17,22,11,16
French Guiana,GUF,2020-03-29,26,23,17.8,10,12,14,19,22,15,24
French Guiana,GUF,2020-04-05,20,12,21.8,21,12,24,17,23,18,23
French Guiana,GUF,2020-04-12,14,12,21.2,19,18,17,23,17,30,19
French Guiana,GUF,2020-04-19,18,7,23.8,20,22,23,16,26,21,22
French Guiana,GUF,2020-04-26,13,16,21.2,17,22,16,21,18,19,18
French Guiana,GUF,2020-05-03,20,9,20.8,18,20,7,25,22,22,23
French Guiana,GUF,2020-05-10,18,15,18.2,10,14,23,14,18,21,12
French Guiana,GUF,2020-05-17,24,16,16.4,15,9,19,17,10,20,23
French Guiana,GUF,2020-05-24,24,13,21.8,18,23,27,14,15,19,21
French Guiana,GUF,2020-05-31,25,13,20,10,24,20,11,23,18,31
French Guiana,GUF,2020-06-07,30,20,18.4,13,20,21,10,16,18,26
French Guiana,GUF,2020-06-14,32,17,17.4,11,14,17,11,22,25,30
French Guiana,GUF,2020-06-21,35,32,18.4,9,20,14,16,21,20,24
French Guiana,GUF,2020-06-28,21,25,19.8,15,19,21,18,14,25,12
French Guiana,GUF,2020-07-05,35,25,21.4,21,19,20,16,19,26,22
French Guiana,GUF,2020-07-12,32,24,19.2,20,17,13,18,16,14,23
French Guiana,GUF,2020-07-19,31,33,23.8,12,25,25,18,27,21,24
French Guiana,GUF,2020-07-26,31,22,20.2,16,16,15,13,29,24,29
French Guiana,GUF,2020-08-02,37,22,22.4,17,20,24,16,23,21,25
French Guiana,GUF,2020-08-09,24,19,20.2,22,15,21,13,18,28,18
French Guiana,GUF,2020-08-16,34,14,20.6,21,20,15,22,13,23,18
French Guiana,GUF,2020-08-23,39,23,18.2,12,20,15,13,19,21,24
French Guiana,GUF,2020-08-30,32,24,19.2,9,19,15,16,25,22,27
French Guiana,GUF,2020-09-06,28,16,17.4,19,10,13,21,12,16,24
French Guiana,GUF,2020-09-13,38,10,20.6,20,20,18,19,14,21,20
French Guiana,GUF,2020-09-20,44,22,19.6,6,31,12,20,17,23,24
French Guiana,GUF,2020-09-27,40,16,18.2,19,17,15,12,16,20,33
French Guiana,GUF,2020-10-04,34,19,18.8,14,21,15,9,23,20,26
French Guiana,GUF,2020-10-11,28,19,16,12,11,21,11,13,25,23
French Guiana,GUF,2020-10-18,26,23,17,11,14,13,22,13,21,26
French Guiana,GUF,2020-10-25,36,18,20.2,12,25,23,11,18,12,17
French Guiana,GUF,2020-11-01,29,26,16.8,15,13,11,12,21,14,18
French Guiana,GUF,2020-11-08,26,17,19.2,18,18,13,20,15,15,24
French Guiana,GUF,2020-11-15,19,11,22.2,16,18,26,15,24,22,20
French Guiana,GUF,2020-11-22,20,21,16,14,17,8,15,14,25,26
French Guiana,GUF,2020-11-29,13,20,19.6,20,16,9,19,22,26,25
French Guiana,GUF,2020-12-06,22,21,18.4,15,17,14,13,21,13,20
French Guiana,GUF,2020-12-13,18,16,22,17,17,16,25,23,23,28
French Guiana,GUF,2020-12-20,22,16,20.4,16,20,16,19,19,25,22
French Guiana,GUF,2020-12-27,23,20,17.8,15,13,19,13,17,36,23
French Guiana,GUF,2021-01-03,,15,17.8,,,,,,,
French Polynesia,PYF,2020-01-31,161,125,148.2,155,111,132,153,124,164,144
French Polynesia,PYF,2020-02-29,146,138,133.4,95,111,139,132,124,139,146
French Polynesia,PYF,2020-03-31,122,153,144.6,105,120,141,128,163,149,159
French Polynesia,PYF,2020-04-30,128,143,152.4,131,126,179,143,117,139,149
French Polynesia,PYF,2020-05-31,115,125,137.6,120,112,134,133,123,131,154
French Polynesia,PYF,2020-06-30,123,129,129,94,110,106,151,118,136,136
French Polynesia,PYF,2020-07-31,139,114,141.4,118,124,136,120,143,120,152
French Polynesia,PYF,2020-08-31,567,116,146.2,124,113,131,150,147,131,145
French Polynesia,PYF,2020-09-30,355,136,126.4,125,122,98,110,111,159,145
French Polynesia,PYF,2020-10-31,140,141,135.6,111,114,126,123,138,127,151
French Polynesia,PYF,2020-11-30,146,180,140.6,104,110,156,152,115,151,150
French Polynesia,PYF,2020-12-31,136,179,141,127,121,130,121,140,153,176
Georgia,GEO,2020-01-31,5134,4630,4585.7,4575,4878,5346,4304,4972,5628,4428
Georgia,GEO,2020-02-29,3892,4136,3875.5,4177,4538,4129,3812,3868,5634,3722
Georgia,GEO,2020-03-31,4318,4001,4148.7,4725,4413,4362,4219,4171,4939,3671
Georgia,GEO,2020-04-30,4170,3644,3885.1,4325,4070,4133,3976,4068,3792,3628
Georgia,GEO,2020-05-31,4557,3860,3817.9,4270,4184,3853,3875,4054,3705,3586
Georgia,GEO,2020-06-30,4120,3523,3474.3,3687,3763,3665,3696,3707,3352,3263
Georgia,GEO,2020-07-31,4203,3706,3401.1,3762,3511,3604,3806,3469,3548,3264
